nohup: ignoring input
Initializing TensorFlow...
Running util_scripts.evaluate_metrics()...
Logging output to results/002-pgan-masks_complete_full_no_empty-preset-v2-1gpu-fp32/metric-swd-16k.txt
Streaming data using dataset.TFRecordDataset...
WARNING:tensorflow:From /nobackup/data/mehfo331/Code/progressive_growing_of_gans/dataset.py:74: tf_record_iterator (from tensorflow.python.lib.io.tf_record) is deprecated and will be removed in a future version.
Instructions for updating:
Use eager execution and: 
`tf.data.TFRecordDataset(path)`
WARNING:tensorflow:From /nobackup/data/mehfo331/Conda/PGAN/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
Dataset shape = [1, 256, 256]
Dynamic range = [0, 6]
Label size    = 0
Initializing metrics.sliced_wasserstein.API...

Snapshot  Time_eval   SWDx1e3_256  SWDx1e3_128  SWDx1e3_64   SWDx1e3_32   SWDx1e3_16   SWDx1e3_avg  
9440      15m 48s     11.7219      3.8448       2.6473       4.4946       6.5257       5.8469       
9400      15m 45s     12.1206      4.3073       3.0728       3.8971       3.9410       5.4678       
9360      15m 43s     11.0778      4.2748       3.1557       4.5384       5.5988       5.7291       
9320      15m 45s     11.3006      4.0695       2.8238       4.4289       5.0615       5.5369       
9280      15m 50s     10.7705      3.4454       2.9816       4.2914       6.1728       5.5323       
9240      15m 45s     11.2719      4.3831       2.8936       3.7935       4.1624       5.3009       
9200      15m 45s     12.9818      5.0778       3.1403       3.6196       3.9219       5.7483       
9160      15m 44s     11.6246      4.6404       3.2814       3.9869       4.3859       5.5838       
9120      15m 42s     11.2190      4.9700       2.8648       3.2524       3.8656       5.2344       
9080      15m 44s     12.6838      5.0615       3.3510       4.4405       4.5901       6.0254       
9040      15m 42s     13.4553      5.0161       3.5281       3.5614       3.6952       5.8512       
9000      15m 44s     12.0242      4.0733       3.2954       3.7970       5.0998       5.6580       
